station_idx,latitude,longitude,district
0,6.066666666666667,80.23103448275863,Gālla
1,6.066666666666667,80.30689655172414,Gālla
2,6.066666666666667,80.38275862068966,Gālla
3,6.066666666666667,80.45862068965518,Mātara
4,6.066666666666667,80.5344827586207,Mātara
5,6.066666666666667,80.61034482758622,Mātara
6,6.066666666666667,80.68620689655172,Mātara
7,6.066666666666667,80.76206896551724,Hambantŏṭa
8,6.066666666666667,80.83793103448276,Hambantŏṭa
9,6.233333333333333,80.07931034482759,Gālla
10,6.233333333333333,80.15517241379311,Gālla
11,6.233333333333333,80.23103448275863,Gālla
12,6.233333333333333,80.30689655172414,Gālla
13,6.233333333333333,80.38275862068966,Gālla
14,6.233333333333333,80.45862068965518,Mātara
15,6.233333333333333,80.5344827586207,Mātara
16,6.233333333333333,80.61034482758622,Mātara
17,6.233333333333333,80.68620689655172,Hambantŏṭa
18,6.233333333333333,80.76206896551724,Hambantŏṭa
19,6.233333333333333,80.83793103448276,Hambantŏṭa
20,6.233333333333333,80.91379310344828,Hambantŏṭa
21,6.233333333333333,80.98965517241379,Hambantŏṭa
22,6.233333333333333,81.06551724137931,Hambantŏṭa
23,6.233333333333333,81.14137931034483,Hambantŏṭa
24,6.233333333333333,81.21724137931035,Hambantŏṭa
25,6.233333333333333,81.29310344827587,Hambantŏṭa
26,6.4,80.07931034482759,Kaḷutara
27,6.4,80.15517241379311,Kaḷutara
28,6.4,80.23103448275863,Kaḷutara
29,6.4,80.30689655172414,Kaḷutara
30,6.4,80.38275862068966,Gālla
31,6.4,80.45862068965518,Ratnapura
32,6.4,80.5344827586207,Ratnapura
33,6.4,80.61034482758622,Ratnapura
34,6.4,80.68620689655172,Ratnapura
35,6.4,80.76206896551724,Ratnapura
36,6.4,80.83793103448276,Ratnapura
37,6.4,80.91379310344828,Mŏṇarāgala
38,6.4,80.98965517241379,Mŏṇarāgala
39,6.4,81.06551724137931,Hambantŏṭa
40,6.4,81.14137931034483,Hambantŏṭa
41,6.4,81.21724137931035,Mŏṇarāgala
42,6.4,81.29310344827587,Mŏṇarāgala
43,6.4,81.36896551724138,Mŏṇarāgala
44,6.4,81.4448275862069,Hambantŏṭa
45,6.4,81.52068965517242,Hambantŏṭa
46,6.4,81.59655172413794,Hambantŏṭa
47,6.566666666666667,80.00344827586207,Kaḷutara
48,6.566666666666667,80.07931034482759,Kaḷutara
49,6.566666666666667,80.15517241379311,Kaḷutara
50,6.566666666666667,80.23103448275863,Kaḷutara
51,6.566666666666667,80.30689655172414,Ratnapura
52,6.566666666666667,80.38275862068966,Ratnapura
53,6.566666666666667,80.45862068965518,Ratnapura
54,6.566666666666667,80.5344827586207,Ratnapura
55,6.566666666666667,80.61034482758622,Ratnapura
56,6.566666666666667,80.68620689655172,Ratnapura
57,6.566666666666667,80.76206896551724,Ratnapura
58,6.566666666666667,80.83793103448276,Ratnapura
59,6.566666666666667,80.91379310344828,Mŏṇarāgala
60,6.566666666666667,80.98965517241379,Mŏṇarāgala
61,6.566666666666667,81.06551724137931,Mŏṇarāgala
62,6.566666666666667,81.14137931034483,Mŏṇarāgala
63,6.566666666666667,81.21724137931035,Mŏṇarāgala
64,6.566666666666667,81.29310344827587,Mŏṇarāgala
65,6.566666666666667,81.36896551724138,Mŏṇarāgala
66,6.566666666666667,81.4448275862069,Mŏṇarāgala
67,6.566666666666667,81.52068965517242,Mŏṇarāgala
68,6.566666666666667,81.59655172413794,Mŏṇarāgala
69,6.566666666666667,81.67241379310346,Ampāra
70,6.733333333333333,79.92758620689655,Kaḷutara
71,6.733333333333333,80.00344827586207,Kaḷutara
72,6.733333333333333,80.07931034482759,Kaḷutara
73,6.733333333333333,80.15517241379311,Kaḷutara
74,6.733333333333333,80.23103448275863,Ratnapura
75,6.733333333333333,80.30689655172414,Ratnapura
76,6.733333333333333,80.38275862068966,Ratnapura
77,6.733333333333333,80.45862068965518,Ratnapura
78,6.733333333333333,80.5344827586207,Ratnapura
79,6.733333333333333,80.61034482758622,Ratnapura
80,6.733333333333333,80.68620689655172,Ratnapura
81,6.733333333333333,80.76206896551724,Ratnapura
82,6.733333333333333,80.83793103448276,Ratnapura
83,6.733333333333333,80.91379310344828,Badulla
84,6.733333333333333,80.98965517241379,Badulla
85,6.733333333333333,81.06551724137931,Badulla
86,6.733333333333333,81.14137931034483,Mŏṇarāgala
87,6.733333333333333,81.21724137931035,Mŏṇarāgala
88,6.733333333333333,81.29310344827587,Mŏṇarāgala
89,6.733333333333333,81.36896551724138,Mŏṇarāgala
90,6.733333333333333,81.4448275862069,Mŏṇarāgala
91,6.733333333333333,81.52068965517242,Mŏṇarāgala
92,6.733333333333333,81.59655172413794,Mŏṇarāgala
93,6.733333333333333,81.67241379310346,Ampāra
94,6.733333333333333,81.74827586206897,Ampāra
95,6.9,79.85172413793104,Kŏḷamba
96,6.9,79.92758620689655,Kŏḷamba
97,6.9,80.00344827586207,Kŏḷamba
98,6.9,80.07931034482759,Kŏḷamba
99,6.9,80.15517241379311,Kŏḷamba
100,6.9,80.23103448275863,Ratnapura
101,6.9,80.30689655172414,Kægalla
102,6.9,80.38275862068966,Kægalla
103,6.9,80.45862068965518,Kægalla
104,6.9,80.5344827586207,Nuvara Ĕliya
105,6.9,80.61034482758622,Nuvara Ĕliya
106,6.9,80.68620689655172,Nuvara Ĕliya
107,6.9,80.76206896551724,Nuvara Ĕliya
108,6.9,80.83793103448276,Badulla
109,6.9,80.91379310344828,Badulla
110,6.9,80.98965517241379,Badulla
111,6.9,81.06551724137931,Badulla
