P,H,epoch,train_L1,val_MAE,val_RMSE
30,5,9,0.8617,0.8262,1.0524
30,5,10,0.8584,0.8338,1.0401
30,5,11,0.8613,0.8431,1.0434
30,5,12,0.8565,0.8275,1.054
30,5,13,0.8592,0.8361,1.0394
30,5,14,0.8568,0.8278,1.0499
30,5,15,0.872,0.8323,1.0733
30,5,16,0.852,0.8622,1.0566
30,5,17,0.8572,0.8284,1.0521
30,5,18,0.8521,0.8292,1.0474
30,5,19,0.8518,0.8471,1.0421
30,5,20,0.8552,0.8285,1.0571
30,5,21,0.8578,0.8289,1.0588
30,5,22,0.8541,0.8293,1.0522
30,5,23,0.8626,0.8312,1.0444
30,5,24,0.8584,0.839,1.0376
30,5,25,0.8631,0.8351,1.0423
30,5,26,0.8576,0.8353,1.045
30,5,27,0.8613,0.8429,1.0413
30,5,28,0.8518,0.8314,1.0457
30,5,29,0.8533,0.8316,1.0434
30,5,30,0.8589,0.8331,1.0422
30,5,TEST,,0.8980478644371033,1.1344834204950611
30,6,1,1.1287,0.9915,1.3468
30,6,2,0.9327,0.8518,1.0732
30,6,3,0.8826,0.8424,1.0475
30,6,4,0.8656,0.8424,1.0421
30,6,5,0.8617,0.8518,1.0514
30,6,6,0.8617,0.838,1.059
30,6,7,0.8598,0.8383,1.0689
30,6,8,0.8655,0.844,1.0935
30,6,9,0.8686,0.8487,1.0548
30,6,10,0.8571,0.8393,1.0715
30,6,11,0.8505,0.8398,1.061
30,6,12,0.86,0.8436,1.0547
30,6,13,0.8654,0.864,1.0642
30,6,14,0.8637,0.8426,1.0584
30,6,15,0.8564,0.851,1.0569
30,6,16,0.8556,0.8438,1.0568
30,6,17,0.8583,0.8418,1.0785
30,6,18,0.8561,0.8419,1.0574
30,6,19,0.8538,0.8567,1.0624
30,6,20,0.8495,0.8434,1.0845
30,6,21,0.8649,0.8508,1.0581
30,6,22,0.858,0.8429,1.0562
30,6,23,0.8531,0.8617,1.0613
30,6,24,0.8631,0.8465,1.0544
30,6,25,0.8604,0.8408,1.0634
30,6,26,0.8586,0.8488,1.0557
30,6,27,0.8564,0.8422,1.0545
30,6,28,0.8615,0.8449,1.0626
30,6,29,0.8531,0.8442,1.0861
30,6,30,0.8605,0.8496,1.0566
30,6,TEST,,0.8764541745185852,1.1015025453958005
30,7,1,1.2343,1.1313,1.5339
30,7,2,1.0048,0.8684,1.0391
30,7,3,0.8826,0.8802,1.0541
30,7,4,0.8595,0.8358,1.0558
30,7,5,0.8603,0.8373,1.0503
30,7,6,0.8502,0.8581,1.061
30,7,7,0.8512,0.8382,1.0586
30,7,8,0.8489,0.8372,1.0628
30,7,9,0.8467,0.8416,1.0581
30,7,10,0.8529,0.8378,1.065
30,7,11,0.8551,0.8385,1.0781
30,7,12,0.854,0.8382,1.0614
30,7,13,0.8562,0.841,1.0606
30,7,14,0.8496,0.8439,1.0614
30,7,15,0.8513,0.84,1.0839
30,7,16,0.8585,0.843,1.0591
30,7,17,0.8435,0.8424,1.0922
30,7,18,0.8525,0.8378,1.067
30,7,19,0.8477,0.8401,1.0582
30,7,20,0.8473,0.8628,1.0691
30,7,21,0.8555,0.8465,1.0616
30,7,22,0.8569,0.8445,1.0592
30,7,23,0.8489,0.8428,1.058
30,7,24,0.8479,0.8412,1.0611
30,7,25,0.8504,0.8395,1.0571
30,7,26,0.8409,0.8423,1.0589
30,7,27,0.8457,0.8404,1.0616
30,7,28,0.8454,0.8397,1.0588
30,7,29,0.8484,0.8429,1.0585
30,7,30,0.8529,0.8409,1.0624
30,7,TEST,,0.8763207197189331,1.0980192514131977
