origin_date,target_date,horizon_days,district,hazard,p_Flood,p_Drought,p_Normal,threshold_flood,threshold_drought,temperature,explanation_top_features,y_pred_mm,roll3_mm,roll7_mm,roll30_mm,n_stations,feedback,comment
2024-07-23,2024-07-30,7,Kaḷutara,Flood,1.0,2.8065102974270265e-180,1.911015742921218e-55,0.6,0.6,0.5,"[{""feature"": ""roll3_mm"", ""shap_value"": 0.9200051122230525}, {""feature"": ""roll30_mm"", ""shap_value"": 7.437281026053018e-06}, {""feature"": ""y_pred_mm"", ""shap_value"": -7.008957889634987e-06}, {""feature"": ""roll7_mm"", ""shap_value"": -9.681068288084488e-08}]",2.183875583748151,78.21666843010058,114.23333516069172,114.23333516069172,12,,
2024-07-23,2024-07-30,7,Kilinŏchchi,Drought,4.8019565885929967e-200,1.0,7.352380311851996e-32,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549991983197419}, {""feature"": ""roll3_mm"", ""shap_value"": 0.0249999612143689}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.0884405696534594e-07}, {""feature"": ""roll7_mm"", ""shap_value"": -3.88956920664707e-09}]",0.830694675427644,1.4125000814734077,1.500000086122859,1.500000086122859,8,,
2024-07-23,2024-07-30,7,Kægalla,Flood,1.0,1.491323401471035e-140,2.864741592751332e-44,0.6,0.6,0.5,"[{""feature"": ""roll3_mm"", ""shap_value"": 0.9200017907168274}, {""feature"": ""roll30_mm"", ""shap_value"": 9.76071341970107e-06}, {""feature"": ""y_pred_mm"", ""shap_value"": -7.149474187072985e-06}, {""feature"": ""roll7_mm"", ""shap_value"": 1.0417794458041432e-06}]",2.1303440698726592,74.30909063494688,93.3727264062201,93.3727264062201,11,,
2024-07-23,2024-07-30,7,Kŏḷamba,Flood,1.0,1.9047501930877307e-184,8.132951839257883e-75,0.6,0.6,0.5,"[{""feature"": ""roll3_mm"", ""shap_value"": 0.9200016652680696}, {""feature"": ""roll30_mm"", ""shap_value"": 8.576411686830182e-06}, {""feature"": ""y_pred_mm"", ""shap_value"": -5.276520651357336e-06}, {""feature"": ""roll7_mm"", ""shap_value"": 4.78576400845393e-07}]",2.283253172462544,84.81999796023636,102.91999723290851,102.91999723290851,5,,
2024-07-23,2024-07-30,7,Mannārama,Drought,2.178849275389783e-201,1.0,2.365499683744801e-32,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549992048660714}, {""feature"": ""roll3_mm"", ""shap_value"": 0.024999971907763513}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.2408214432324538e-07}, {""feature"": ""roll7_mm"", ""shap_value"": -5.89120605076765e-09}]",0.7905155143080386,1.1266666650946189,1.1333333318767849,1.1333333318767849,15,,
2024-07-23,2024-07-30,7,Maḍakalapuva,Drought,1.5014072818920157e-192,1.0,1.554767295552753e-28,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549992425306349}, {""feature"": ""roll3_mm"", ""shap_value"": 0.024999913659783636}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.1802160023235975e-07}, {""feature"": ""roll7_mm"", ""shap_value"": 8.631666055525233e-09}]",0.795249527007175,2.8625000992633645,3.887500111453385,3.887500111453385,16,,
2024-07-23,2024-07-30,7,Mulativ,Drought,8.217733425529775e-202,1.0,4.4462714813350875e-32,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549991985581163}, {""feature"": ""roll3_mm"", ""shap_value"": 0.02499998061404768}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.2758764689549396e-07}, {""feature"": ""roll7_mm"", ""shap_value"": -4.784033042978808e-09}]",0.7833478144487185,0.8888889334745613,1.3388889456958477,1.3388889456958477,18,,
2024-07-23,2024-07-30,7,Mātale,Drought,8.950244294232783e-176,1.0,2.7461580316614443e-20,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8503845233800306}, {""feature"": ""roll3_mm"", ""shap_value"": 0.029763533678100335}, {""feature"": ""roll7_mm"", ""shap_value"": -0.00021513326094865608}, {""feature"": ""y_pred_mm"", ""shap_value"": 6.612300330217577e-05}]",1.0481560485020234,5.766666901404955,9.941666961467352,9.941666961467352,12,,
2024-07-23,2024-07-30,7,Mŏṇarāgala,Drought,1.0802473501143612e-177,1.0,1.893944922618115e-23,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549081794442034}, {""feature"": ""roll3_mm"", ""shap_value"": 0.025135974478838294}, {""feature"": ""roll7_mm"", ""shap_value"": -6.028446141705113e-05}, {""feature"": ""y_pred_mm"", ""shap_value"": 1.5177338859560102e-05}]",1.25413845501013,6.14473696569887,7.67894753244149,7.67894753244149,38,,
2024-07-23,2024-07-30,7,Puttalama,Drought,1.1457559950329459e-133,0.9999999920593192,7.940680728997591e-09,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8449968645270044}, {""feature"": ""roll3_mm"", ""shap_value"": 0.035003147910889196}, {""feature"": ""roll7_mm"", ""shap_value"": -1.6570768803497032e-06}, {""feature"": ""y_pred_mm"", ""shap_value"": 6.834987899238809e-07}]",0.9854672351672672,16.350000871374732,18.03125093291436,18.03125093291436,16,,
